#TYPE Selected.System.ServiceProcess.ServiceController
"Name","DisplayName","Status","StartType","Time"
"smphost","Microsoft Storage Spaces SMP","Stopped","Manual","12-19-2025 02:20:54"
"SmsRouter","Microsoft Windows SMS Router Service.","Stopped","Manual","12-19-2025 02:20:54"
"SNMPTrap","SNMP Trap","Stopped","Manual","12-19-2025 02:20:54"
"Spooler","Print Spooler","Running","Automatic","12-19-2025 02:20:54"
"sppsvc","Software Protection","Stopped","Automatic","12-19-2025 02:20:54"
"SSDPSRV","SSDP Discovery","Running","Manual","12-19-2025 02:20:54"
"ssh-agent","OpenSSH Authentication Agent","Stopped","Disabled","12-19-2025 02:20:54"
"SstpSvc","Secure Socket Tunneling Protocol Service","Running","Manual","12-19-2025 02:20:54"
"StateRepository","State Repository Service","Running","Automatic","12-19-2025 02:20:54"
"StiSvc","Windows Image Acquisition (WIA)","Running","Automatic","12-19-2025 02:20:54"
"StorSvc","Storage Service","Running","Automatic","12-19-2025 02:20:54"
"svsvc","Spot Verifier","Stopped","Manual","12-19-2025 02:20:54"
"swprv","Microsoft Software Shadow Copy Provider","Stopped","Manual","12-19-2025 02:20:54"
"SysMain","SysMain","Running","Automatic","12-19-2025 02:20:54"
"SystemEventsBroker","System Events Broker","Running","Automatic","12-19-2025 02:20:54"
"TapiSrv","Telephony","Running","Manual","12-19-2025 02:20:54"
"TermService","Remote Desktop Services","Running","Manual","12-19-2025 02:20:54"
"TextInputManagementService","Text Input Management Service","Running","Automatic","12-19-2025 02:20:54"
"Themes","Themes","Running","Automatic","12-19-2025 02:20:54"
"TieringEngineService","Storage Tiers Management","Stopped","Manual","12-19-2025 02:20:54"
"TimeBrokerSvc","Time Broker","Running","Manual","12-19-2025 02:20:54"
"TokenBroker","Web Account Manager","Running","Manual","12-19-2025 02:20:54"
"TrkWks","Distributed Link Tracking Client","Running","Automatic","12-19-2025 02:20:54"
"TroubleshootingSvc","Recommended Troubleshooting Service","Stopped","Manual","12-19-2025 02:20:54"
"TrustedInstaller","Windows Modules Installer","Stopped","Manual","12-19-2025 02:20:54"
"tzautoupdate","Auto Time Zone Updater","Stopped","Disabled","12-19-2025 02:20:54"
"ucldr_battlegrounds_gl","Uncheater for BattleGrounds_GL","Stopped","Manual","12-19-2025 02:20:54"
"UdkUserSvc_fd7af","Udk User Service_fd7af","Running","Manual","12-19-2025 02:20:54"
"UmRdpService","Remote Desktop Services UserMode Port Redirector","Running","Manual","12-19-2025 02:20:54"
"UnistoreSvc_fd7af","User Data Storage_fd7af","Running","Manual","12-19-2025 02:20:54"
"UPDATESRV","Bitdefender Desktop Update Service","Running","Automatic","12-19-2025 02:20:54"
"upnphost","UPnP Device Host","Running","Manual","12-19-2025 02:20:54"
"UserDataSvc_fd7af","User Data Access_fd7af","Running","Manual","12-19-2025 02:20:54"
"UserManager","User Manager","Running","Automatic","12-19-2025 02:20:54"
"UsoSvc","Update Orchestrator Service","Running","Automatic","12-19-2025 02:20:54"
"VaultSvc","Credential Manager","Running","Manual","12-19-2025 02:20:54"
"VBoxSDS","VirtualBox system service","Running","Manual","12-19-2025 02:20:54"
"vds","Virtual Disk","Running","Manual","12-19-2025 02:20:54"
"vmcompute","Hyper-V Host Compute Service","Stopped","Manual","12-19-2025 02:20:54"
"vmicguestinterface","Hyper-V Guest Service Interface","Stopped","Manual","12-19-2025 02:20:54"
"vmicheartbeat","Hyper-V Heartbeat Service","Stopped","Manual","12-19-2025 02:20:54"
"vmickvpexchange","Hyper-V Data Exchange Service","Stopped","Manual","12-19-2025 02:20:54"
"vmicrdv","Hyper-V Remote Desktop Virtualization Service","Stopped","Manual","12-19-2025 02:20:54"
"vmicshutdown","Hyper-V Guest Shutdown Service","Stopped","Manual","12-19-2025 02:20:54"
"vmictimesync","Hyper-V Time Synchronization Service","Stopped","Manual","12-19-2025 02:20:54"
"vmicvmsession","Hyper-V PowerShell Direct Service","Stopped","Manual","12-19-2025 02:20:54"
"vmicvss","Hyper-V Volume Shadow Copy Requestor","Stopped","Manual","12-19-2025 02:20:54"
"VSS","Volume Shadow Copy","Stopped","Manual","12-19-2025 02:20:54"
"VSSERV","Bitdefender Virus Shield","Running","Automatic","12-19-2025 02:20:54"
"W32Time","Windows Time","Running","Automatic","12-19-2025 02:20:54"
"WaaSMedicSvc","WaaSMedicSvc","Stopped","Manual","12-19-2025 02:20:54"
"WalletService","WalletService","Stopped","Manual","12-19-2025 02:20:54"
"WarpJITSvc","Warp JIT Service","Stopped","Manual","12-19-2025 02:20:54"
"wbengine","Block Level Backup Engine Service","Stopped","Manual","12-19-2025 02:20:54"
"WbioSrvc","Windows Biometric Service","Stopped","Manual","12-19-2025 02:20:54"
"Wcmsvc","Windows Connection Manager","Running","Automatic","12-19-2025 02:20:54"
"wcncsvc","Windows Connect Now - Config Registrar","Stopped","Manual","12-19-2025 02:20:54"
"WdiServiceHost","Diagnostic Service Host","Stopped","Manual","12-19-2025 02:20:54"
"WdiSystemHost","Diagnostic System Host","Stopped","Manual","12-19-2025 02:20:54"
"WdNisSvc","Microsoft Defender Antivirus Network Inspection Service","Stopped","Manual","12-19-2025 02:20:54"
"WebClient","WebClient","Running","Manual","12-19-2025 02:20:54"
"webthreatdefsvc","Web Threat Defense Service","Stopped","Manual","12-19-2025 02:20:54"
"webthreatdefusersvc_fd7af","Web Threat Defense User Service_fd7af","Running","Automatic","12-19-2025 02:20:54"
"Wecsvc","Windows Event Collector","Stopped","Manual","12-19-2025 02:20:54"
"WEPHOSTSVC","Windows Encryption Provider Host Service","Stopped","Manual","12-19-2025 02:20:54"
"wercplsupport","Problem Reports Control Panel Support","Stopped","Manual","12-19-2025 02:20:54"
"WerSvc","Windows Error Reporting Service","Stopped","Manual","12-19-2025 02:20:54"
"WFDSConMgrSvc","Wi-Fi Direct Services Connection Manager Service","Stopped","Manual","12-19-2025 02:20:54"
"whesvc","Windows Health and Optimized Experiences","Running","Automatic","12-19-2025 02:20:54"
"WiaRpc","Still Image Acquisition Events","Stopped","Manual","12-19-2025 02:20:54"
"WinDefend","Microsoft Defender Antivirus Service","Stopped","Manual","12-19-2025 02:20:54"
"WinHttpAutoProxySvc","WinHTTP Web Proxy Auto-Discovery Service","Running","Manual","12-19-2025 02:20:54"
"Winmgmt","Windows Management Instrumentation","Running","Automatic","12-19-2025 02:20:54"
"WinRM","Windows Remote Management (WS-Management)","Running","Automatic","12-19-2025 02:20:54"
"wisvc","Windows Insider Service","Stopped","Manual","12-19-2025 02:20:54"
"WlanSvc","WLAN AutoConfig","Running","Automatic","12-19-2025 02:20:54"
"wlidsvc","Microsoft Account Sign-in Assistant","Stopped","Manual","12-19-2025 02:20:54"
"wlpasvc","Local Profile Assistant Service","Stopped","Manual","12-19-2025 02:20:54"
